Home,Away,Winner
Baltimore Ravens,Kansas City Chiefs,Kansas City Chiefs
Green Bay Packers,Philadelphia Eagles,Philadelphia Eagles
Pittsburgh Steelers,Atlanta Falcons,Pittsburgh Steelers
Arizona Cardinals,Buffalo Bills,Buffalo Bills
Tennessee Titans,Chicago Bears,Chicago Bears
New England Patriots,Cincinnati Bengals,New England Patriots
Houston Texans,Indianapolis Colts,Houston Texans
Jacksonville Jaguars,Miami Dolphins,Miami Dolphins
Carolina Panthers,New Orleans Saints,New Orleans Saints
Minnesota Vikings,New York Giants,Minnesota Vikings
Las Vegas Raiders,Los Angeles Chargers,Los Angeles Chargers
Denver Broncos,Seattle Seahawks,Seattle Seahawks
Dallas Cowboys,Cleveland Browns,Dallas Cowboys
Washington Commanders,Tampa Bay Buccaneers,Tampa Bay Buccaneers
Los Angeles Rams,Detroit Lions,Detroit Lions
New York Jets,San Francisco 49ers,San Francisco 49ers
Buffalo Bills,Miami Dolphins,Buffalo Bills
Los Angeles Chargers,Carolina Panthers,Los Angeles Chargers
New Orleans Saints,Dallas Cowboys,New Orleans Saints
Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers
Indianapolis Colts,Green Bay Packers,Green Bay Packers
Cleveland Browns,Jacksonville Jaguars,Cleveland Browns
San Francisco 49ers,Minnesota Vikings,Minnesota Vikings
Seattle Seahawks,New England Patriots,Seattle Seahawks
New York Jets,Tennessee Titans,New York Jets
Las Vegas Raiders,Baltimore Ravens,Las Vegas Raiders
New York Giants,Washington Commanders,Washington Commanders
Los Angeles Rams,Arizona Cardinals,Arizona Cardinals
Pittsburgh Steelers,Denver Broncos,Pittsburgh Steelers
Cincinnati Bengals,Kansas City Chiefs,Kansas City Chiefs
Chicago Bears,Houston Texans,Houston Texans
Atlanta Falcons,Philadelphia Eagles,Atlanta Falcons
New England Patriots,New York Jets,New York Jets
New York Giants,Cleveland Browns,New York Giants
Chicago Bears,Indianapolis Colts,Indianapolis Colts
Houston Texans,Minnesota Vikings,Minnesota Vikings
Philadelphia Eagles,New Orleans Saints,Philadelphia Eagles
Green Bay Packers,Tennessee Titans,Green Bay Packers
Los Angeles Chargers,Pittsburgh Steelers,Pittsburgh Steelers
Denver Broncos,Tampa Bay Buccaneers,Denver Broncos
Carolina Panthers,Las Vegas Raiders,Carolina Panthers
Miami Dolphins,Seattle Seahawks,Seattle Seahawks
Detroit Lions,Arizona Cardinals,Detroit Lions
Baltimore Ravens,Dallas Cowboys,Baltimore Ravens
San Francisco 49ers,Los Angeles Rams,Los Angeles Rams
Kansas City Chiefs,Atlanta Falcons,Kansas City Chiefs
Jacksonville Jaguars,Buffalo Bills,Buffalo Bills
Washington Commanders,Cincinnati Bengals,Washington Commanders
Dallas Cowboys,New York Giants,Dallas Cowboys
New Orleans Saints,Atlanta Falcons,Atlanta Falcons
Cincinnati Bengals,Carolina Panthers,Cincinnati Bengals
Los Angeles Rams,Chicago Bears,Chicago Bears
Pittsburgh Steelers,Indianapolis Colts,Indianapolis Colts
Minnesota Vikings,Green Bay Packers,Minnesota Vikings
Jacksonville Jaguars,Houston Texans,Houston Texans
Denver Broncos,New York Jets,Denver Broncos
Philadelphia Eagles,Tampa Bay Buccaneers,Tampa Bay Buccaneers
Washington Commanders,Arizona Cardinals,Washington Commanders
New England Patriots,San Francisco 49ers,San Francisco 49ers
Cleveland Browns,Las Vegas Raiders,Las Vegas Raiders
Kansas City Chiefs,Los Angeles Chargers,Kansas City Chiefs
Buffalo Bills,Baltimore Ravens,Baltimore Ravens
Tennessee Titans,Miami Dolphins,Tennessee Titans
Seattle Seahawks,Detroit Lions,Detroit Lions
Tampa Bay Buccaneers,Atlanta Falcons,Atlanta Falcons
New York Jets,Minnesota Vikings,Minnesota Vikings
Carolina Panthers,Chicago Bears,Chicago Bears
Baltimore Ravens,Cincinnati Bengals,Baltimore Ravens
Buffalo Bills,Houston Texans,Houston Texans
Indianapolis Colts,Jacksonville Jaguars,Jacksonville Jaguars
Miami Dolphins,New England Patriots,Miami Dolphins
Cleveland Browns,Washington Commanders,Washington Commanders
Las Vegas Raiders,Denver Broncos,Denver Broncos
Arizona Cardinals,San Francisco 49ers,Arizona Cardinals
Green Bay Packers,Los Angeles Rams,Green Bay Packers
New York Giants,Seattle Seahawks,New York Giants
Dallas Cowboys,Pittsburgh Steelers,Dallas Cowboys
New Orleans Saints,Kansas City Chiefs,Kansas City Chiefs
San Francisco 49ers,Seattle Seahawks,San Francisco 49ers
Jacksonville Jaguars,Chicago Bears,Chicago Bears
Arizona Cardinals,Green Bay Packers,Green Bay Packers
Tampa Bay Buccaneers,New Orleans Saints,Tampa Bay Buccaneers
Houston Texans,New England Patriots,Houston Texans
Indianapolis Colts,Tennessee Titans,Indianapolis Colts
Cleveland Browns,Philadelphia Eagles,Philadelphia Eagles
Washington Commanders,Baltimore Ravens,Baltimore Ravens
Los Angeles Chargers,Denver Broncos,Los Angeles Chargers
Pittsburgh Steelers,Las Vegas Raiders,Pittsburgh Steelers
Atlanta Falcons,Carolina Panthers,Atlanta Falcons
Detroit Lions,Dallas Cowboys,Detroit Lions
Cincinnati Bengals,New York Giants,Cincinnati Bengals
Buffalo Bills,New York Jets,Buffalo Bills
Denver Broncos,New Orleans Saints,Denver Broncos
New England Patriots,Jacksonville Jaguars,Jacksonville Jaguars
Seattle Seahawks,Atlanta Falcons,Seattle Seahawks
Tennessee Titans,Buffalo Bills,Buffalo Bills
Cincinnati Bengals,Cleveland Browns,Cincinnati Bengals
Miami Dolphins,Indianapolis Colts,Indianapolis Colts
Houston Texans,Green Bay Packers,Green Bay Packers
Detroit Lions,Minnesota Vikings,Detroit Lions
Philadelphia Eagles,New York Giants,Philadelphia Eagles
Las Vegas Raiders,Los Angeles Rams,Los Angeles Rams
Carolina Panthers,Washington Commanders,Washington Commanders
Kansas City Chiefs,San Francisco 49ers,Kansas City Chiefs
New York Jets,Pittsburgh Steelers,Pittsburgh Steelers
Baltimore Ravens,Tampa Bay Buccaneers,Baltimore Ravens
Los Angeles Chargers,Arizona Cardinals,Arizona Cardinals
Minnesota Vikings,Los Angeles Rams,Los Angeles Rams
Philadelphia Eagles,Cincinnati Bengals,Philadelphia Eagles
Baltimore Ravens,Cleveland Browns,Cleveland Browns
Tennessee Titans,Detroit Lions,Detroit Lions
Indianapolis Colts,Houston Texans,Houston Texans
Green Bay Packers,Jacksonville Jaguars,Green Bay Packers
Arizona Cardinals,Miami Dolphins,Arizona Cardinals
New York Jets,New England Patriots,New England Patriots
Atlanta Falcons,Tampa Bay Buccaneers,Atlanta Falcons
New Orleans Saints,Los Angeles Chargers,Los Angeles Chargers
Buffalo Bills,Seattle Seahawks,Buffalo Bills
Carolina Panthers,Denver Broncos,Denver Broncos
Kansas City Chiefs,Las Vegas Raiders,Kansas City Chiefs
Chicago Bears,Washington Commanders,Washington Commanders
Dallas Cowboys,San Francisco 49ers,San Francisco 49ers
New York Giants,Pittsburgh Steelers,Pittsburgh Steelers
Houston Texans,New York Jets,New York Jets
Dallas Cowboys,Atlanta Falcons,Atlanta Falcons
Miami Dolphins,Buffalo Bills,Buffalo Bills
New Orleans Saints,Carolina Panthers,Carolina Panthers
Las Vegas Raiders,Cincinnati Bengals,Cincinnati Bengals
Los Angeles Chargers,Cleveland Browns,Los Angeles Chargers
Washington Commanders,New York Giants,Washington Commanders
New England Patriots,Tennessee Titans,Tennessee Titans
Denver Broncos,Baltimore Ravens,Baltimore Ravens
Chicago Bears,Arizona Cardinals,Arizona Cardinals
Jacksonville Jaguars,Philadelphia Eagles,Philadelphia Eagles
Detroit Lions,Green Bay Packers,Detroit Lions
Los Angeles Rams,Seattle Seahawks,Los Angeles Rams
Indianapolis Colts,Minnesota Vikings,Minnesota Vikings
Tampa Bay Buccaneers,Kansas City Chiefs,Kansas City Chiefs
Cincinnati Bengals,Baltimore Ravens,Baltimore Ravens
New York Giants,Carolina Panthers,Carolina Panthers
New England Patriots,Chicago Bears,New England Patriots
Buffalo Bills,Indianapolis Colts,Buffalo Bills
Minnesota Vikings,Jacksonville Jaguars,Minnesota Vikings
Denver Broncos,Kansas City Chiefs,Kansas City Chiefs
Atlanta Falcons,New Orleans Saints,New Orleans Saints
San Francisco 49ers,Tampa Bay Buccaneers,San Francisco 49ers
Pittsburgh Steelers,Washington Commanders,Pittsburgh Steelers
Tennessee Titans,Los Angeles Chargers,Los Angeles Chargers
New York Jets,Arizona Cardinals,Arizona Cardinals
Philadelphia Eagles,Dallas Cowboys,Philadelphia Eagles
Detroit Lions,Houston Texans,Detroit Lions
Miami Dolphins,Los Angeles Rams,Miami Dolphins
Washington Commanders,Philadelphia Eagles,Philadelphia Eagles
Green Bay Packers,Chicago Bears,Green Bay Packers
Jacksonville Jaguars,Detroit Lions,Detroit Lions
Las Vegas Raiders,Miami Dolphins,Miami Dolphins
Cleveland Browns,New Orleans Saints,New Orleans Saints
Los Angeles Rams,New England Patriots,Los Angeles Rams
Indianapolis Colts,New York Jets,Indianapolis Colts
Minnesota Vikings,Tennessee Titans,Minnesota Vikings
Baltimore Ravens,Pittsburgh Steelers,Pittsburgh Steelers
Atlanta Falcons,Denver Broncos,Denver Broncos
Seattle Seahawks,San Francisco 49ers,Seattle Seahawks
Kansas City Chiefs,Buffalo Bills,Buffalo Bills
Cincinnati Bengals,Los Angeles Chargers,Los Angeles Chargers
Houston Texans,Dallas Cowboys,Houston Texans
Pittsburgh Steelers,Cleveland Browns,Cleveland Browns
Kansas City Chiefs,Carolina Panthers,Kansas City Chiefs
Minnesota Vikings,Chicago Bears,Minnesota Vikings
Detroit Lions,Indianapolis Colts,Detroit Lions
Tennessee Titans,Houston Texans,Tennessee Titans
New England Patriots,Miami Dolphins,Miami Dolphins
Tampa Bay Buccaneers,New York Giants,Tampa Bay Buccaneers
Dallas Cowboys,Washington Commanders,Dallas Cowboys
Denver Broncos,Las Vegas Raiders,Denver Broncos
San Francisco 49ers,Green Bay Packers,Green Bay Packers
Arizona Cardinals,Seattle Seahawks,Seattle Seahawks
Philadelphia Eagles,Los Angeles Rams,Philadelphia Eagles
Baltimore Ravens,Los Angeles Chargers,Baltimore Ravens
Chicago Bears,Detroit Lions,Detroit Lions
New York Giants,Dallas Cowboys,Dallas Cowboys
Miami Dolphins,Green Bay Packers,Green Bay Packers
Las Vegas Raiders,Kansas City Chiefs,Kansas City Chiefs
Los Angeles Chargers,Atlanta Falcons,Los Angeles Chargers
Pittsburgh Steelers,Cincinnati Bengals,Pittsburgh Steelers
Houston Texans,Jacksonville Jaguars,Houston Texans
Arizona Cardinals,Minnesota Vikings,Minnesota Vikings
Indianapolis Colts,New England Patriots,Indianapolis Colts
Seattle Seahawks,New York Jets,Seattle Seahawks
Tennessee Titans,Washington Commanders,Washington Commanders
Tampa Bay Buccaneers,Carolina Panthers,Tampa Bay Buccaneers
Los Angeles Rams,New Orleans Saints,Los Angeles Rams
Philadelphia Eagles,Baltimore Ravens,Philadelphia Eagles
San Francisco 49ers,Buffalo Bills,Buffalo Bills
Cleveland Browns,Denver Broncos,Denver Broncos
Green Bay Packers,Detroit Lions,Detroit Lions
New York Jets,Miami Dolphins,Miami Dolphins
Atlanta Falcons,Minnesota Vikings,Minnesota Vikings
New Orleans Saints,New York Giants,New Orleans Saints
Jacksonville Jaguars,Tennessee Titans,Jacksonville Jaguars
Carolina Panthers,Philadelphia Eagles,Philadelphia Eagles
Cleveland Browns,Pittsburgh Steelers,Pittsburgh Steelers
Las Vegas Raiders,Tampa Bay Buccaneers,Tampa Bay Buccaneers
Seattle Seahawks,Arizona Cardinals,Seattle Seahawks
Buffalo Bills,Los Angeles Rams,Los Angeles Rams
Chicago Bears,San Francisco 49ers,San Francisco 49ers
Los Angeles Chargers,Kansas City Chiefs,Kansas City Chiefs
Cincinnati Bengals,Dallas Cowboys,Cincinnati Bengals
Los Angeles Rams,San Francisco 49ers,Los Angeles Rams
Dallas Cowboys,Carolina Panthers,Dallas Cowboys
Kansas City Chiefs,Cleveland Browns,Kansas City Chiefs
Miami Dolphins,Houston Texans,Houston Texans
New York Jets,Jacksonville Jaguars,New York Jets
Washington Commanders,New Orleans Saints,Washington Commanders
Baltimore Ravens,New York Giants,Baltimore Ravens
Cincinnati Bengals,Tennessee Titans,Cincinnati Bengals
New England Patriots,Arizona Cardinals,Arizona Cardinals
Indianapolis Colts,Denver Broncos,Denver Broncos
Buffalo Bills,Detroit Lions,Buffalo Bills
Pittsburgh Steelers,Philadelphia Eagles,Philadelphia Eagles
Tampa Bay Buccaneers,Los Angeles Chargers,Tampa Bay Buccaneers
Green Bay Packers,Seattle Seahawks,Green Bay Packers
Chicago Bears,Minnesota Vikings,Minnesota Vikings
Atlanta Falcons,Las Vegas Raiders,Atlanta Falcons
Denver Broncos,Los Angeles Chargers,Los Angeles Chargers
Houston Texans,Kansas City Chiefs,Kansas City Chiefs
Pittsburgh Steelers,Baltimore Ravens,Baltimore Ravens
New York Giants,Atlanta Falcons,Atlanta Falcons
Arizona Cardinals,Carolina Panthers,Carolina Panthers
Detroit Lions,Chicago Bears,Detroit Lions
Cleveland Browns,Cincinnati Bengals,Cincinnati Bengals
Tennessee Titans,Indianapolis Colts,Indianapolis Colts
Los Angeles Rams,New York Jets,Los Angeles Rams
Philadelphia Eagles,Washington Commanders,Washington Commanders
Minnesota Vikings,Seattle Seahawks,Minnesota Vikings
New England Patriots,Buffalo Bills,Buffalo Bills
San Francisco 49ers,Miami Dolphins,Miami Dolphins
Jacksonville Jaguars,Las Vegas Raiders,Las Vegas Raiders
Tampa Bay Buccaneers,Dallas Cowboys,Dallas Cowboys
New Orleans Saints,Green Bay Packers,Green Bay Packers
Kansas City Chiefs,Pittsburgh Steelers,Kansas City Chiefs
Baltimore Ravens,Houston Texans,Baltimore Ravens
Seattle Seahawks,Chicago Bears,Seattle Seahawks
Los Angeles Chargers,New England Patriots,Los Angeles Chargers
Denver Broncos,Cincinnati Bengals,Cincinnati Bengals
Arizona Cardinals,Los Angeles Rams,Los Angeles Rams
New York Jets,Buffalo Bills,Buffalo Bills
Tennessee Titans,Jacksonville Jaguars,Jacksonville Jaguars
Las Vegas Raiders,New Orleans Saints,Las Vegas Raiders
Indianapolis Colts,New York Giants,New York Giants
Dallas Cowboys,Philadelphia Eagles,Philadelphia Eagles
Carolina Panthers,Tampa Bay Buccaneers,Tampa Bay Buccaneers
Miami Dolphins,Cleveland Browns,Miami Dolphins
Green Bay Packers,Minnesota Vikings,Minnesota Vikings
Atlanta Falcons,Washington Commanders,Washington Commanders
Detroit Lions,San Francisco 49ers,Detroit Lions
Cleveland Browns,Baltimore Ravens,Baltimore Ravens
Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals
Carolina Panthers,Atlanta Falcons,Carolina Panthers
Jacksonville Jaguars,Indianapolis Colts,Indianapolis Colts
Washington Commanders,Dallas Cowboys,Washington Commanders
Chicago Bears,Green Bay Packers,Chicago Bears
Buffalo Bills,New England Patriots,New England Patriots
Houston Texans,Tennessee Titans,Houston Texans
New York Giants,Philadelphia Eagles,Philadelphia Eagles
New Orleans Saints,Tampa Bay Buccaneers,Tampa Bay Buccaneers
San Francisco 49ers,Arizona Cardinals,Arizona Cardinals
Kansas City Chiefs,Denver Broncos,Denver Broncos
Miami Dolphins,New York Jets,New York Jets
Los Angeles Chargers,Las Vegas Raiders,Los Angeles Chargers
Seattle Seahawks,Los Angeles Rams,Seattle Seahawks
Minnesota Vikings,Detroit Lions,Detroit Lions
